product_name,category,brand,description,specifications,features,price,stock,warranty
Notebook Stand,Computer Accessories,Havit,"Portable cooling stand for laptop","Material: Aluminum; Fan: 2x USB powered; Adjustable height: 3 positions; Color: Silver","Cooling fans, Adjustable height, Lightweight and portable",21.99,150,"1 year limited"
Ceramic Mug,Kitchen & Dining,Corelle,"Printed coffee mug 350ml","Capacity: 350ml; Material: Ceramic; Color: White with print","Microwave safe, Dishwasher safe, Stylish print",6.50,300,"6 months limited"
Wireless Keyboard,Computer Accessories,LogiTech,"Compact Bluetooth keyboard","Connectivity: Bluetooth; Keys: 78; Battery: 6 months; Color: Black","Portable, Quiet keys, Multi-device pairing",24.99,180,"1 year limited"
Hand Mixer,Kitchen Appliances,Breville,"5-speed electric hand mixer","Power: 250W; Speeds: 5; Attachments: Beaters and dough hooks; Color: White","Multiple speeds, Easy to clean, Lightweight",19.99,140,"1 year manufacturer"
Shampoo,Health & Personal Care,Himalaya,"Anti-dandruff herbal shampoo 200ml","Volume: 200ml; Ingredients: Herbal; Color: Green; Hair type: All","Anti-dandruff, Gentle formula, Natural herbs",5.99,400,"6 months limited"
Men’s Watch,Fashion,Casio,"Analog stainless steel wristwatch","Movement: Quartz; Water-resistant: 50m; Case diameter: 42mm; Color: Silver","Water-resistant, Elegant design, Durable",64.99,90,"1 year manufacturer"
Women’s Necklace,Fashion,Swarovski,"Gold-plated heart pendant chain","Material: Gold-plated alloy; Length: 45cm; Pendant: Heart-shaped; Color: Gold","Elegant design, Hypoallergenic, Perfect gift",29.00,120,"1 year manufacturer"
Toaster,Kitchen Appliances,Philips,"2-slice pop-up toaster with crumb tray","Power: 800W; Slices: 2; Color: Silver; Material: Stainless Steel","Auto pop-up, Removable crumb tray, Compact",25.00,110,"1 year limited"
Back Cushion,Furniture,Everlasting Comfort,"Memory foam lumbar support pillow","Material: Memory foam; Size: 14x12 inches; Color: Black; Cover: Removable","Ergonomic support, Washable cover, Comfortable",18.75,160,"1 year limited"
Smart Bulb,Electronics,Philips,"Color-changing LED smart bulb","Power: 9W; Connectivity: Wi-Fi; Color: RGB; Lifetime: 25000 hours","Voice control, Remote control, Multi-color",13.49,200,"1 year manufacturer"
Wireless Doorbell,Home & Office,Ring,"Plug-in chime with 300m range","Power: Plug-in; Range: 300m; Chimes: 36 tones; Color: White","Wireless, Multiple chimes, Easy installation",17.99,180,"1 year manufacturer"
Dog Leash,Pet Supplies,PetSafe,"Nylon leash with reflective stitching","Length: 1.5m; Material: Nylon; Color: Black; Width: 2cm","Reflective, Durable, Comfortable handle",9.50,250,"6 months limited"
Cat Toy,Pet Supplies,Petstages,"Interactive feather wand for cats","Material: Feathers and plastic; Length: 40cm; Color: Multicolor","Interactive, Lightweight, Fun for cats",6.99,300,"6 months limited"
Electric Drill,Tools,Bosch,"12V cordless drill set","Battery: 12V Li-ion; Speed: 0-1500 RPM; Chuck: 10mm; Color: Blue","Cordless, Adjustable torque, Lightweight",74.99,100,"2 years manufacturer"
Hair Straightener,Health & Personal Care,Philips,"Ceramic plates flat iron","Plate size: 25mm; Power: 45W; Heat range: 150-230°C; Color: Black","Ceramic plates, Quick heat, Adjustable temperature",23.99,150,"1 year manufacturer"
Face Serum,Beauty,L’Oreal,"Vitamin C brightening serum 30ml","Volume: 30ml; Ingredients: Vitamin C, Hyaluronic acid; Skin type: All","Brightening, Hydrating, Lightweight formula",15.49,200,"1 year limited"
Men’s Shoes,Footwear,Clarks,"Leather formal office shoes","Material: Leather; Sizes: 7-12; Color: Brown; Sole: Rubber","Durable, Comfortable, Classic design",59.00,90,"1 year manufacturer"
Women’s Sandals,Footwear,Reebok,"Comfortable casual flat sandals","Material: Synthetic; Sizes: 5-10; Color: Beige; Sole: Rubber","Comfortable, Lightweight, Breathable",24.50,150,"6 months manufacturer"
Mattress,Furniture,Wakefit,"Memory foam queen-size mattress","Size: 60x78 inches; Material: Memory foam; Firmness: Medium; Color: White","Memory foam, Pressure relief, Hypoallergenic",399.00,40,"5 years manufacturer"
Pillow,Furniture,Amazon Basics,"Soft microfiber sleeping pillow","Material: Microfiber; Size: 20x26 inches; Color: White; Firmness: Soft","Soft, Hypoallergenic, Machine washable",12.99,200,"1 year limited"
Bed Sheet,Home & Living,Spaces,"Cotton double bedsheet with pillow covers","Material: 100% Cotton; Size: Double; Color: Blue; Includes: 2 pillow covers","Soft, Breathable, Durable",19.00,180,"1 year limited"
Smart TV Box,Electronics,Xiaomi,"Android TV box 4K streaming","OS: Android 11; Resolution: 4K; Storage: 16GB; Connectivity: Wi-Fi 5","4K streaming, Apps support, Easy setup",49.99,120,"1 year manufacturer"
Router,Networking,TP-Link,"Wireless dual-band router","Wi-Fi: Dual-band; Speed: 1200Mbps; Ports: 4 LAN; Color: White","Fast Wi-Fi, Easy setup, Dual-band",39.00,130,"1 year manufacturer"
Printer,Office Equipment,HP,"Wireless inkjet color printer","Print Speed: 20ppm; Connectivity: Wi-Fi; Resolution: 1200x1200dpi; Color: White","Wireless printing, Color printing, Compact",129.99,70,"2 years manufacturer"
Book Light,Home & Office,Philips,"Clip-on rechargeable reading light","Battery: 2000mAh; Light modes: 3; Material: Plastic; Color: White","Rechargeable, Clip-on, Adjustable angle",9.99,250,"1 year limited"
Men’s Jeans,Fashion,Levis,"Slim-fit denim jeans","Material: 100% Cotton; Sizes: 30-38; Color: Blue; Fit: Slim","Stylish, Durable, Comfortable",29.99,150,"6 months manufacturer"
Women’s Dress,Fashion,H&M,"Floral printed midi dress","Material: Polyester; Sizes: S-XL; Color: Multicolor; Length: Midi","Floral print, Lightweight, Comfortable",34.99,120,"6 months manufacturer"
Baby Stroller,Baby Products,Graco,"Lightweight foldable stroller","Weight: 7kg; Material: Aluminum; Max load: 25kg; Color: Grey","Foldable, Lightweight, Adjustable handle",149.00,50,"2 years manufacturer"
Air Purifier,Home Appliances,Philips,"HEPA filter air purifier","Coverage: 400 sq ft; Filter: HEPA; Power: 45W; Color: White","HEPA filtration, Quiet, Air quality indicator",99.99,60,"2 years manufacturer"
Drone,Electronics,DJI,"Mini quadcopter drone with camera","Camera: 1080p; Flight time: 20 min; Range: 100m; Battery: Li-ion","Portable, Stable flight, Camera included",89.00,40,"1 year manufacturer"
Microwave Bowl,Kitchen & Dining,Pyrex,"Microwave-safe glass bowl","Capacity: 500ml; Material: Glass; Color: Transparent; Microwave safe: Yes","Microwave safe, Durable, Heat resistant",8.49,200,"6 months limited"
Electric Bike,Transportation,Xiaomi,"Foldable e-bike with 250W motor","Motor: 250W; Battery: 36V 10Ah; Speed: 25km/h; Range: 30km; Color: Black","Foldable, Electric motor, Lightweight",499.00,30,"1 year manufacturer"
Office Desk,Furniture,Ikea,"Wooden writing desk 120cm","Material: Wood; Dimensions: 120x60x75cm; Color: Brown; Drawers: 3","Spacious, Sturdy, Elegant design",119.00,50,"5 years limited"
Plant Pot,Home & Garden,Ikea,"Ceramic indoor decorative planter","Material: Ceramic; Size: 20x20cm; Color: White; Drainage hole: Yes","Decorative, Durable, Indoor use",11.99,200,"1 year limited"
Wall Clock,Home & Office,Ikea,"Minimalist silent wall clock","Diameter: 30cm; Material: Plastic; Color: Black; Silent movement: Yes","Silent, Minimalist design, Easy to hang",16.99,180,"1 year limited"
Gaming Mouse,Computer Accessories,Razer,"Adjustable DPI RGB gaming mouse","DPI: 400-16000; Connectivity: USB wired; RGB lighting: Yes; Color: Black","RGB lighting, High DPI, Ergonomic design",19.50,140,"1 year manufacturer"
Smart Door Lock,Home Security,Yale,"Fingerprint and PIN door lock","Power: 4 AA batteries; Access: Fingerprint/PIN/Key; Material: Zinc alloy; Color: Silver","Fingerprint access, PIN code, Auto-lock",179.00,60,"2 years manufacturer"
Floor Lamp,Home & Office,Ikea,"Tripod stand modern floor lamp","Power: 10W LED; Material: Metal/Wood; Color: Black; Height: 150cm","Modern design, Adjustable light, Energy-efficient",59.99,90,"1 year limited"
Water Filter,Kitchen Appliances,Kent,"5-stage water purifier for home","Stages: 5; Capacity: 15L/hr; Material: ABS; Color: White","5-stage purification, Easy installation, Long-lasting filter",139.00,70,"2 years manufacturer"
Camera Lens,Photography,Canon,"50mm f/1.8 DSLR prime lens","Focal length: 50mm; Aperture: f/1.8; Mount: Canon EF; Material: Plastic/Glass","Sharp images, Lightweight, Wide aperture",129.99,50,"1 year manufacturer"
Wireless Router,Networking,TP-Link,"High-speed Wi-Fi 6 router","Wi-Fi: 6; Speed: 3000Mbps; Bands: Dual; Ports: 4 LAN; Color: White","High-speed, Dual-band, Easy setup",79.99,100,"1 year manufacturer"
HD Action Camera,Photography,GoPro,"Waterproof sports action camera","Resolution: 1080p; Battery: 2 hours; Waterproof: 30m; Color: Black","Waterproof, Portable, Durable",69.00,80,"1 year manufacturer"
Coffee Grinder,Kitchen Appliances,Hamilton Beach,"Manual hand coffee grinder","Material: Ceramic; Capacity: 50g; Adjustable grind: Yes; Color: Black","Manual, Adjustable grind, Portable",22.50,120,"1 year limited"
Electric Iron,Home Appliances,Philips,"Non-stick soleplate dry iron","Power: 1200W; Soleplate: Non-stick; Temperature: Adjustable; Color: Blue","Quick heating, Smooth gliding, Lightweight",17.99,200,"1 year limited"
Travel Pillow,Travel,Tempur,"Memory foam neck pillow","Material: Memory foam; Size: 30x30cm; Cover: Removable; Color: Grey","Memory foam, Ergonomic support, Washable cover",14.50,180,"1 year limited"
Hand Sanitizer,Health & Personal Care,GermX,"70% alcohol sanitizer gel 500ml","Volume: 500ml; Alcohol: 70%; Color: Transparent; Pump: Yes","Kills 99.9% germs, Quick-dry, Pump dispenser",5.49,300,"6 months limited"
Mini Speaker,Audio,JBL,"Compact Bluetooth speaker","Power: 3W; Battery: 6 hours; Connectivity: Bluetooth 5.0; Color: Red","Portable, Wireless, Clear sound",12.99,220,"1 year manufacturer"
Wireless Microphone,Audio,Shure,"Rechargeable clip mic","Frequency: 2.4GHz; Battery: 8 hours; Connectivity: Wireless; Color: Black","Rechargeable, Clip-on, Clear sound",28.99,90,"1 year manufacturer"
Projector Screen,Photography,Elite Screens,"100-inch foldable screen","Size: 100-inch; Material: Matte White; Aspect ratio: 16:9; Color: White","Foldable, Portable, Easy setup",35.00,70,"1 year limited"
Smart Thermostat,Home Appliances,Nest,"Wi-Fi temperature control system","Connectivity: Wi-Fi; Compatibility: Alexa/Google; Power: 24V; Color: White","Remote control, Energy saving, Easy installation",149.00,50,"2 years manufacturer"
LED Flashlight,Outdoor,EverBrite,"Rechargeable tactical torch","Battery: 2000mAh; Lumens: 500; Material: Aluminum; Color: Black","Rechargeable, Bright, Durable",16.99,180,"1 year limited"
Portable Hard Drive,Electronics,Seagate,"2TB external HDD","Capacity: 2TB; Connection: USB 3.0; Material: Plastic; Color: Black","High capacity, Fast transfer, Portable",89.00,80,"2 years manufacturer"
Drawing Tablet,Computers,Wacom,"Graphics tablet with pen","Active area: 10x6 inches; Connectivity: USB; Pressure levels: 2048; Color: Black","Pressure-sensitive, USB powered, Compact",69.99,90,"1 year manufacturer"
Kitchen Scale,Kitchen Appliances,Salter,"Digital food weighing scale","Capacity: 5kg; Precision: 1g; Material: Plastic; Color: White","Digital display, Accurate, Compact",13.99,150,"1 year limited"
Handbag Organizer,Fashion,Generic,"Fabric insert for handbags","Material: Polyester; Compartments: 10; Color: Black; Size: 28x20cm","Organizes bags, Lightweight, Durable",9.99,200,"6 months limited"
Face Cream,Beauty,Nivea,"Hydrating daily face moisturizer","Volume: 50ml; Skin type: All; Ingredients: Aloe vera; Color: White","Hydrating, Lightweight, Suitable for daily use",10.99,250,"1 year limited"
Wireless Mouse Pad,Computer Accessories,LogiTech,"Mouse pad with wireless charging","Dimensions: 25x20cm; Material: Rubber; Connectivity: Qi wireless; Color: Black","Wireless charging, Non-slip, Smooth surface",21.49,150,"1 year manufacturer"
Laptop Bag,Bags,Targus,"Water-resistant 15.6-inch laptop bag","Material: Polyester; Size: Fits up to 15.6-inch laptops; Color: Black","Water-resistant, Padded compartments, Lightweight",32.00,130,"1 year limited"
Car Charger,Electronics,Anker,"Dual USB 3.1A car adapter","Input: 12V-24V; Output: 5V/3.1A; Material: Plastic; Color: Black","Dual USB, Fast charging, Compact",8.99,250,"6 months manufacturer"
Ceiling Fan,Home Appliances,Orient,"3-blade ceiling fan 1200mm","Power: 70W; Blade span: 1200mm; Color: White; Speed: 3 levels","Energy efficient, Quiet, Durable",59.99,100,"2 years manufacturer"
