id,product_name,category,brand,description,specifications,features,price,stock,warranty
1,"iPhone 15 Pro","Smartphones","Apple","Latest Apple flagship with A17 chip and excellent camera","{\"RAM\":\"8GB\",\"Storage\":\"256GB\",\"Display\":\"6.1-inch OLED\",\"Battery\":\"3200mAh\",\"Camera\":\"48MP Triple Camera\"}","{\"FaceID\":true,\"WirelessCharging\":true,\"5G\":true}",1199.99,50,"1 year Apple warranty"
2,"iPhone SE 3","Smartphones","Apple","Compact budget iPhone with A15 chip","{\"RAM\":\"4GB\",\"Storage\":\"128GB\",\"Display\":\"4.7-inch Retina\",\"Battery\":\"2018mAh\",\"Camera\":\"12MP Single Camera\"}","{\"FaceID\":false,\"WirelessCharging\":true,\"5G\":true}",429.99,120,"1 year Apple warranty"
3,"iPhone 14 Plus","Smartphones","Apple","Older iPhone with larger display","{\"RAM\":\"6GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch OLED\",\"Battery\":\"4323mAh\",\"Camera\":\"12MP Dual Camera\"}","{\"FaceID\":true,\"WirelessCharging\":true,\"5G\":true}",799.99,70,"1 year Apple warranty"
4,"Samsung Galaxy S23 Ultra","Smartphones","Samsung","High-end Android with S-Pen and huge AMOLED display","{\"RAM\":\"12GB\",\"Storage\":\"512GB\",\"Display\":\"6.8-inch AMOLED\",\"Battery\":\"5000mAh\",\"Camera\":\"200MP Quad Camera\"}","{\"S-Pen\":true,\"WirelessCharging\":true,\"5G\":true}",1299.99,40,"1 year Samsung warranty"
5,"Samsung Galaxy S23","Smartphones","Samsung","Flagship phone with excellent performance and camera","{\"RAM\":\"8GB\",\"Storage\":\"256GB\",\"Display\":\"6.1-inch AMOLED\",\"Battery\":\"3900mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"WirelessCharging\":true,\"5G\":true}",999.99,60,"1 year Samsung warranty"
6,"Samsung Galaxy A54","Smartphones","Samsung","Mid-range phone with AMOLED display and decent camera","{\"RAM\":\"6GB\",\"Storage\":\"128GB\",\"Display\":\"6.4-inch AMOLED\",\"Battery\":\"5000mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"5G\":true,\"WirelessCharging\":false}",399.99,150,"1 year Samsung warranty"
7,"Samsung Galaxy M14","Smartphones","Samsung","Budget phone with huge battery","{\"RAM\":\"4GB\",\"Storage\":\"64GB\",\"Display\":\"6.6-inch LCD\",\"Battery\":\"6000mAh\",\"Camera\":\"50MP Dual Camera\"}","{\"5G\":true,\"FastCharging\":true}",159.99,200,"1 year Samsung warranty"
8,"Google Pixel 8 Pro","Smartphones","Google","Stock Android, AI camera, great for photography enthusiasts","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch AMOLED\",\"Battery\":\"5000mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"AI Photography\":true,\"WirelessCharging\":true,\"5G\":true}",999.99,60,"1 year Google warranty"
9,"Google Pixel 7a","Smartphones","Google","Affordable Pixel with stock Android and good camera","{\"RAM\":\"8GB\",\"Storage\":\"128GB\",\"Display\":\"6.1-inch OLED\",\"Battery\":\"4385mAh\",\"Camera\":\"64MP Dual Camera\"}","{\"AI Photography\":true,\"5G\":true}",449.99,130,"1 year Google warranty"
10,"OnePlus 12","Smartphones","OnePlus","Flagship killer with fast charging and smooth performance","{\"RAM\":\"16GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch AMOLED\",\"Battery\":\"4800mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true,\"OxygenOS\":true}",899.99,70,"1 year OnePlus warranty"
11,"OnePlus Nord 3","Smartphones","OnePlus","Affordable mid-range phone with smooth performance","{\"RAM\":\"8GB\",\"Storage\":\"128GB\",\"Display\":\"6.7-inch AMOLED\",\"Battery\":\"4500mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",399.99,90,"1 year OnePlus warranty"
12,"Xiaomi 14 Pro","Smartphones","Xiaomi","High-end phone with top-tier specs and sleek design","{\"RAM\":\"12GB\",\"Storage\":\"512GB\",\"Display\":\"6.73-inch AMOLED\",\"Battery\":\"5000mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true,\"MIUI\":true}",799.99,80,"1 year Xiaomi warranty"
13,"Xiaomi Redmi Note 13","Smartphones","Xiaomi","Popular mid-range phone with good battery","{\"RAM\":\"6GB\",\"Storage\":\"128GB\",\"Display\":\"6.67-inch AMOLED\",\"Battery\":\"5000mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"5G\":true,\"FastCharging\":true}",219.99,180,"1 year Xiaomi warranty"
14,"Xiaomi Poco X5 Pro","Smartphones","Xiaomi","Budget-friendly phone with solid specs","{\"RAM\":\"6GB\",\"Storage\":\"128GB\",\"Display\":\"6.67-inch AMOLED 120Hz\",\"Battery\":\"5000mAh\",\"Camera\":\"108MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",299.99,180,"1 year Poco warranty"
